Date,Jacobs Well Spg nr Wimberley (TX),Blanco Rv nr Kyle (TX)
7/15/2010 0:00,6.4,87
7/16/2010 0:00,6.2,82
7/17/2010 0:00,6.2,76
7/18/2010 0:00,6,74
7/19/2010 0:00,6,72
7/20/2010 0:00,5.5,65
7/21/2010 0:00,5.5,61
7/22/2010 0:00,5.4,60
7/23/2010 0:00,5.4,60
7/24/2010 0:00,5.3,57
7/25/2010 0:00,5.6,53
7/26/2010 0:00,5.5,51
7/27/2010 0:00,5.3,51
7/28/2010 0:00,5.4,55
7/29/2010 0:00,5.7,63
7/30/2010 0:00,5.6,50
7/31/2010 0:00,5.4,46
8/1/2010 0:00,4.9,44
8/2/2010 0:00,4.4,42
8/3/2010 0:00,4.2,40
8/4/2010 0:00,4.2,39
8/5/2010 0:00,4.1,38
8/6/2010 0:00,4,37
8/7/2010 0:00,4,35
8/8/2010 0:00,3.7,35
8/9/2010 0:00,3.5,33
8/10/2010 0:00,3.6,33
8/11/2010 0:00,3.7,32
8/12/2010 0:00,3.7,36
8/13/2010 0:00,3.4,32
8/14/2010 0:00,2.9,31
8/15/2010 0:00,3,29
8/16/2010 0:00,2.6,28
8/17/2010 0:00,2.4,27
8/18/2010 0:00,2.4,26
8/19/2010 0:00,2.6,25
8/20/2010 0:00,2.6,24
8/21/2010 0:00,2.4,23
8/22/2010 0:00,2.5,22
8/23/2010 0:00,2.5,21
8/24/2010 0:00,2.5,21
8/25/2010 0:00,2.7,21
8/26/2010 0:00,2.6,21
8/27/2010 0:00,2.6,20
8/28/2010 0:00,2.5,19
8/29/2010 0:00,2,18
8/30/2010 0:00,1.8,18
8/31/2010 0:00,1.9,18
9/1/2010 0:00,1.6,17
9/2/2010 0:00,2.1,16
9/3/2010 0:00,2.5,22
9/4/2010 0:00,2.7,23
9/5/2010 0:00,2.9,18
9/6/2010 0:00,2.2,18
9/7/2010 0:00,13,55
9/8/2010 0:00,44,4080
9/9/2010 0:00,39,2800
9/10/2010 0:00,29,714
9/11/2010 0:00,25,456
9/12/2010 0:00,23,348
9/13/2010 0:00,21,290
9/14/2010 0:00,19,250
9/15/2010 0:00,17,222
9/16/2010 0:00,16,203
9/17/2010 0:00,15,189
9/18/2010 0:00,15,183
9/19/2010 0:00,14,180
9/20/2010 0:00,15,182
9/21/2010 0:00,16,250
9/22/2010 0:00,15,211
9/23/2010 0:00,15,192
9/24/2010 0:00,14,179
9/25/2010 0:00,14,162
9/26/2010 0:00,14,152
9/27/2010 0:00,13,231
9/28/2010 0:00,12,176
9/29/2010 0:00,12,150
9/30/2010 0:00,11,137
