SeriesID,SiteName,VariableName,LocalDateTime,DataValue,VarUnits,DataType,SiteID,SiteCode,VariableID,VariableCode,Organization,SourceDescription,SourceLink,ValueType,TimeSupport,TimeUnits,IsRegular,NoDataValue,UTCOffset,DateTimeUTC,Latitude,Longitude,ValueAccuracy,CensorCode,MethodDescription,QualityControlLevelCode,SampleMedium,GeneralCategory
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/13/2010 0:00,15,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/13/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/14/2010 0:00,15,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/14/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/15/2010 0:00,15,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/15/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/16/2010 0:00,15,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/16/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/17/2010 0:00,15,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/17/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/18/2010 0:00,20,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/18/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/19/2010 0:00,18,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/19/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/20/2010 0:00,17,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/20/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/21/2010 0:00,17,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/21/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/22/2010 0:00,16,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/22/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/23/2010 0:00,16,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/23/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/24/2010 0:00,16,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/24/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/25/2010 0:00,14,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/25/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/26/2010 0:00,13,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/26/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/27/2010 0:00,13,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/27/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/28/2010 0:00,13,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/28/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/29/2010 0:00,12,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/29/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
